Rank;Pos;Player;Team;Bye;Pts;Upside;ADP;VBD;Games;Pts/G;Age;Drafted;Wk 1;Wk 2;Wk 3;Wk 4;Wk 5;Wk 6;Wk 7;Wk 8;Wk 9;Wk 10;Wk 11;Wk 12;Wk 13;Wk 14;Wk 15;Wk 16;Wk 17;Notes
266;RB96;Peyton Barber;WAS;8;15.90;17.63;-;-95.64;15.00;0.95;26;u;0.82;0.97;1.08;0.81;0.91;0.96;1.01;0.00;0.96;1.09;1.10;1.01;0.81;0.66;0.96;1.20;0.82;UPS
255;RB91;Lamar Miller;FA;?;18.28;18.28;-;-93.27;12.00;0.95;29;4;0.89;0.89;0.89;0.89;0.89;0.89;0.89;0.89;0.89;0.89;0.89;0.89;0.89;0.89;0.89;0.89;0.89;
175;RB65;Rex Burkhead;NE;6;51.80;57.38;-;-59.74;14.80;3.09;30;6;3.45;3.14;3.31;3.50;2.64;0.00;2.15;3.14;3.06;2.65;3.34;3.18;3.37;2.99;3.45;3.14;3.06;
227;RB76;Dion Lewis;NYG;11;34.83;38.50;-;-76.71;14.90;2.07;29;5;1.83;2.22;1.49;2.07;2.29;2.52;1.86;1.46;2.52;1.86;0.00;2.48;2.17;2.20;2.45;1.83;2.29;
231;RB78;Dare Ogunbowale;TB;13;32.30;35.74;-;-79.24;15.00;1.93;26;u;1.56;2.40;1.62;2.07;1.97;2.00;2.03;1.92;1.56;2.40;1.84;2.15;0.00;1.70;1.60;2.18;1.60;
247;RB87;Brian Hill;ATL;10;25.78;28.48;-;-85.77;15.00;1.54;24;5;1.54;1.62;1.58;1.60;1.92;1.36;1.75;1.92;1.30;0.00;1.25;1.63;1.25;1.65;1.03;1.72;1.03;UPS
259;RB93;Bo Scarbrough;DET;5;16.40;18.11;-;-95.14;15.00;0.98;23;7;1.00;1.02;0.99;0.79;0.00;1.25;0.81;0.88;0.87;1.13;1.22;1.04;1.00;1.02;1.03;0.66;0.87;UPS
270;RB99;Wayne Gallman;NYG;11;13.56;15.01;-;-97.98;15.00;0.81;25;4;0.71;0.86;0.58;0.81;0.89;0.98;0.72;0.57;0.98;0.72;0.00;0.97;0.85;0.86;0.95;0.71;0.89;
276;RB100;Darrel Williams;KC;10;13.39;14.85;-;-98.15;15.00;0.80;25;u;0.90;0.90;0.71;0.71;0.89;0.84;0.71;0.82;1.05;0.00;0.89;0.57;0.71;0.92;0.68;0.70;0.90;
297;RB106;Travis Homer;SEA;6;10.88;11.90;-;-100.66;14.70;0.64;21;6;0.56;0.57;0.71;0.74;0.60;0.00;0.69;0.46;0.68;0.64;0.69;0.58;0.67;0.66;0.78;0.64;0.46;
264;RB96;Patrick Laird;MIA;11;15.90;17.63;-;-95.64;15.00;0.95;24;u;0.81;0.97;1.23;0.97;0.67;0.82;1.04;0.92;0.98;0.95;0.00;0.95;1.11;1.08;0.81;1.02;0.97;
301;RB107;Jordan Wilkins;IND;7;10.71;11.78;-;-100.83;15.00;0.64;26;5;0.78;0.54;0.60;0.63;0.69;0.70;0.00;0.70;0.52;0.65;0.64;0.65;0.65;0.65;0.65;0.52;0.78;UPS
291;RB105;Kalen Ballage;MIA;11;11.88;13.15;-;-99.66;15.00;0.71;24;4;0.61;0.72;0.92;0.72;0.50;0.61;0.77;0.69;0.73;0.70;0.00;0.70;0.83;0.80;0.61;0.76;0.72;
244;RB85;Reggie Bonnafon;CAR;13;26.38;28.93;-;-85.16;14.80;1.56;24;u;1.75;1.12;1.78;1.69;1.38;1.70;1.35;1.38;1.85;1.12;1.89;1.47;0.00;1.40;1.73;1.92;1.35;
284;RB103;Dontrell Hilliard;CLE;9;12.05;13.31;-;-99.49;15.00;0.72;25;u;0.60;0.81;0.82;0.75;0.64;0.60;0.81;0.75;0.00;0.76;0.61;0.90;0.75;0.60;0.71;0.69;0.60;
246;RB86;Qadree Ollison;ATL;10;25.94;28.77;-;-85.60;15.00;1.55;23;5;1.56;1.64;1.60;1.62;1.95;1.38;1.77;1.95;1.31;0.00;1.26;1.65;1.26;1.67;1.05;1.74;1.05;UPS
246;RB86;Rodney Anderson;CIN;10;25.94;28.77;-;-85.60;15.00;1.55;23;5;1.56;1.64;1.60;1.62;1.95;1.38;1.77;1.95;1.31;0.00;1.26;1.65;1.26;1.67;1.05;1.74;1.05;UPS
301;RB107;Dexter Williams;GB;7;10.71;11.78;-;-100.83;15.00;0.64;26;5;0.78;0.54;0.60;0.63;0.69;0.70;0.00;0.70;0.52;0.65;0.64;0.65;0.65;0.65;0.65;0.52;0.78;UPS
291;RB105;Jeff Wilson;SF;11;11.88;13.15;-;-99.66;15.00;0.71;24;4;0.61;0.72;0.92;0.72;0.50;0.61;0.77;0.69;0.73;0.70;0.00;0.70;0.83;0.80;0.61;0.76;0.72;
244;RB85;Ty Johnson;DET;13;26.38;28.93;-;-85.16;14.80;1.56;24;u;1.75;1.12;1.78;1.69;1.38;1.70;1.35;1.38;1.85;1.12;1.89;1.47;0.00;1.40;1.73;1.92;1.35;
284;RB103;Devine Ozigbo;JAX;9;12.05;13.31;-;-99.49;15.00;0.72;25;u;0.60;0.81;0.82;0.75;0.64;0.60;0.81;0.75;0.00;0.76;0.61;0.90;0.75;0.60;0.71;0.69;0.60;
246;RB86;Jordan Scarlett;CAR;10;25.94;28.77;-;-85.60;15.00;1.55;23;5;1.56;1.64;1.60;1.62;1.95;1.38;1.77;1.95;1.31;0.00;1.26;1.65;1.26;1.67;1.05;1.74;1.05;UPS
246;RB86;Josh Adams;NYJ;10;25.94;28.77;-;-85.60;15.00;1.55;23;5;1.56;1.64;1.60;1.62;1.95;1.38;1.77;1.95;1.31;0.00;1.26;1.65;1.26;1.67;1.05;1.74;1.05;UPS
301;RB107;John Kelly;LAR;7;10.71;11.78;-;-100.83;15.00;0.64;26;5;0.78;0.54;0.60;0.63;0.69;0.70;0.00;0.70;0.52;0.65;0.64;0.65;0.65;0.65;0.65;0.52;0.78;UPS
291;RB105;Kerrith Whyte;PIT;11;11.88;13.15;-;-99.66;15.00;0.71;24;4;0.61;0.72;0.92;0.72;0.50;0.61;0.77;0.69;0.73;0.70;0.00;0.70;0.83;0.80;0.61;0.76;0.72;
244;RB85;Elijah Holyfield;PHI;13;26.38;28.93;-;-85.16;14.80;1.56;24;u;1.75;1.12;1.78;1.69;1.38;1.70;1.35;1.38;1.85;1.12;1.89;1.47;0.00;1.40;1.73;1.92;1.35;
